-,-,-
-20.00,238.00,922.00
-21.00,238.00,921.00
-21.00,238.00,921.00
-21.00,237.00,921.00
-19.00,239.00,921.00
-18.00,222.00,859.00
-17.00,238.00,896.00
-27.00,235.00,940.00
-17.00,231.00,916.00
-18.00,247.00,877.00
-24.00,234.00,941.00
-24.00,237.00,930.00
-30.00,234.00,927.00
-90.00,212.00,996.00
-520.00,-120.00,867.00
-525.00,-57.00,1049.00
-248.00,78.00,1036.00
115.00,360.00,1093.00
39.00,807.00,1395.00
510.00,923.00,1337.00
307.00,442.00,756.00
188.00,494.00,709.00
-1023.00,91.00,2772.00
-367.00,910.00,1905.00
-562.00,667.00,1171.00
-727.00,684.00,898.00
-364.00,1264.00,953.00
52.00,755.00,921.00
643.00,107.00,309.00
-663.00,789.00,2118.00
360.00,618.00,-319.00
381.00,359.00,-323.00
-90.00,1490.00,1059.00
-88.00,698.00,866.00
-235.00,612.00,1165.00
19.00,857.00,917.00
16.00,855.00,754.00
-4.00,841.00,448.00
-124.00,961.00,569.00
-160.00,1038.00,728.00
-176.00,927.00,608.00
12.00,851.00,528.00
111.00,843.00,516.00
140.00,914.00,525.00
70.00,918.00,407.00
120.00,887.00,419.00
101.00,655.00,259.00
160.00,599.00,276.00
217.00,582.00,373.00
228.00,608.00,408.00
271.00,687.00,458.00
243.00,697.00,454.00
171.00,630.00,370.00
146.00,558.00,282.00
142.00,531.00,249.00
103.00,466.00,219.00
76.00,517.00,291.00
108.00,509.00,317.00
86.00,496.00,333.00
38.00,473.00,319.00
53.00,458.00,298.00
70.00,506.00,339.00
66.00,503.00,333.00
13.00,484.00,286.00
-18.00,496.00,247.00
-27.00,511.00,221.00
-17.00,618.00,191.00
4.00,665.00,161.00
27.00,755.00,83.00
20.00,831.00,60.00
10.00,850.00,10.00
16.00,826.00,-8.00
5.00,807.00,11.00
-13.00,852.00,60.00
-11.00,863.00,23.00
37.00,1021.00,1.00
94.00,1079.00,-78.00
16.00,1127.00,-105.00
0.00,1097.00,-121.00
-20.00,1016.00,-145.00
-37.00,1015.00,-31.00
83.00,968.00,240.00
188.00,995.00,322.00
267.00,1223.00,420.00
378.00,1735.00,-20.00
384.00,1414.00,-326.00
149.00,1154.00,24.00
210.00,945.00,237.00
307.00,749.00,263.00
291.00,819.00,183.00
581.00,941.00,233.00
